bKills;CST Jesiz;T8 Porpoise8;T8 Slooshi8;;
bKills;CST Cris;T8 CaliTrlolz8;T8 Slooshi8;;
bKills;CST Mash;T8 CaliTrlolz8;T8 Dodo8;;
bKills;CST Jesiz;T8 Slooshi8;T8 CaliTrlolz8;T8 Porpoise8;T8 Dodo8
bKills;CST Impaler;T8 Maplestreet8;T8 Porpoise8;T8 Dodo8;
bKills;CST Mash;T8 Maplestreet8;T8 Dodo8;;
bKills;CST Impaler;T8 Maplestreet8;;;
bKills;CST Jesiz;T8 Slooshi8;T8 Porpoise8;T8 Dodo8;
bKills;CST Sheep;T8 Maplestreet8;T8 Porpoise8;T8 Dodo8;
bKills;CST Cris;T8 CaliTrlolz8;T8 Porpoise8;T8 Slooshi8;T8 Maplestreet8
bKills;CST Mash;T8 Maplestreet8;T8 Porpoise8;T8 Slooshi8;T8 Dodo8
bKills;CST Impaler;T8 Slooshi8;T8 Porpoise8;T8 Maplestreet8;T8 Dodo8
bKills;CST Jesiz;T8 Slooshi8;T8 CaliTrlolz8;T8 Porpoise8;T8 Maplestreet8
bKills;CST Sheep;T8 CaliTrlolz8;T8 Porpoise8;T8 Slooshi8;T8 Maplestreet8
bKills;TL Xpecial;C9 LemonNation;C9 Meteos;C9 Sneaky;
bKills;TL Piglet;C9 LemonNation;C9 Sneaky;;
bKills;TL FeniX;C9 LemonNation;C9 Hai;;
bKills;TL IWDominate;C9 Sneaky;C9 Balls;C9 Meteos;C9 Hai
bKills;TL Quas;C9 Meteos;C9 Balls;C9 Hai;C9 Sneaky
bKills;TL Piglet;C9 Sneaky;C9 Hai;;
bKills;TL IWDominate;C9 Sneaky;C9 Meteos;C9 Hai;
bKills;TL FeniX;C9 Balls;C9 Meteos;C9 Hai;C9 LemonNation
bKills;TL IWDominate;C9 Hai;C9 Meteos;C9 LemonNation;
bKills;TL Quas;C9 Hai;C9 Meteos;C9 Sneaky;C9 LemonNation
bKills;TL Xpecial;C9 Meteos;C9 Hai;C9 Sneaky;C9 LemonNation
bKills;TL IWDominate;C9 Hai;C9 Balls;C9 Meteos;C9 LemonNation
bKills;TL Quas;C9 Hai;C9 Balls;C9 Meteos;C9 Sneaky
bKills;TL Piglet;C9 Meteos;C9 Sneaky;C9 LemonNation;
bKills;TL FeniX;C9 Sneaky;C9 Meteos;C9 Hai;C9 LemonNation
bKills;CLG ZionSpartan;TIP Apollo;TIP Impact;TIP Rush;TIP Adrian
bKills;CLG Aphromoo;TIP XiaoWeiXiao;TIP Rush;TIP Apollo;
bKills;CLG Xmithie;TIP Apollo;TIP Rush;TIP Adrian;
bKills;CLG Aphromoo;TIP Apollo;TIP Adrian;;
bKills;WFX Pobelter;TSM Bjergsen;TSM Santorin;TSM Lustboy;
bKills;WFX Avalon;TSM WildTurtle;TSM Lustboy;;
bKills;WFX Avalon;TSM WildTurtle;TSM Santorin;TSM Lustboy;
bKills;WFX Pobelter;TSM Bjergsen;TSM Santorin;TSM Lustboy;
bKills;WFX Helios;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Lustboy
bKills;WFX Altec;TSM Lustboy;TSM Dyrus;TSM Santorin;TSM Bjergsen
bKills;WFX Pobelter;TSM Lustboy;TSM Dyrus;TSM Santorin;TSM Bjergsen
bKills;WFX Pobelter;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;WFX Avalon;TSM Lustboy;TSM Bjergsen;;
bKills;WFX Gleeb;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Lustboy
bKills;WFX Pobelter;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;WFX Altec;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;WFX Avalon;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;C9 Hai;CLG Aphromoo;CLG Xmithie;CLG Link;CLG Doublelift
bKills;C9 LemonNation;CLG Doublelift;CLG ZionSpartan;CLG Link;CLG Aphromoo
bKills;C9 Hai;CLG Link;CLG ZionSpartan;;
bKills;C9 Hai;CLG Xmithie;CLG Link;CLG Aphromoo;
